gene,cell_type
A2m,glioblast
A2m,Bergmann glial cell
Abca1,glioblast
Abca13,kidney distal convoluted tubule epithelial cell
Abca13,kidney loop of Henle ascending limb epithelial cell
Abca13,kidney loop of Henle thick ascending limb epithelial cell
Abca13,kidney loop of Henle medullary thick ascending limb epithelial cell
Abca13,kidney loop of Henle cortical thick ascending limb epithelial cell
Abca13,kidney loop of Henle thin ascending limb epithelial cell
Abca13,kidney epithelial cell
Abca13,kidney cortex tubule cell
Abca13,kidney connecting tubule epithelial cell
Abca13,epithelial cell of nephron
Abca13,kidney loop of Henle epithelial cell
Abca13,kidney cell
Abca3,epithelial cell of lung
Abca3,epithelial cell of alveolus of lung
Abca3,pneumocyte
Abca3,type II pneumocyte
Abca3,lung secretory cell
Abca8a,mesenchymal stem cell
Abca8a,Schwann cell
Abca8a,cardiac neuron
Abca8a,connective tissue cell
Abca8a,fibroblast
Abca8a,pancreatic stellate cell
Abca8a,fibroblast of cardiac tissue
Abca8a,fibroblast of lung
Abca8a,adventitial cell
Abcb1a,enterocyte
Abcb1a,enterocyte of epithelium of large intestine
Abcb1a,blood vessel endothelial cell
Abcb1a,endothelial stalk cell
Abcb1a,intestinal epithelial cell
Abcb1a,epithelial cell of large intestine
Abcb1a,endothelial cell
Abcb1a,endothelial cell of vascular tree
Abcb1b,skeletal muscle satellite cell
Abcb1b,muscle precursor cell
Abcc8,epithelial cell
Abcc8,pancreatic endocrine cell
Abcc8,type B pancreatic cell
Abcc8,pancreatic A cell
Abcc8,pancreatic D cell
Abcc8,pancreatic PP cell
Abcc8,glandular epithelial cell
Abcc8,enteroendocrine cell
Abcc8,PP cell
Abcc8,endocrine cell
Abcc9,vascular leptomeningeal cell
Abcc9,fibroblast
Abcc9,hepatic stellate cell
Abcc9,mesothelial fibroblast
Abcc9,pericyte
Abcc9,mural cell
Abcg2,vasa recta descending limb cell
Abcg2,endothelial stalk cell
Abcg2,prostate gland microvascular endothelial cell
Abhd17c,type I pneumocyte
Abhd5,megakaryocyte-erythroid progenitor cell
Abhd5,granulocytopoietic cell
