gene,immuno_oncology
ACE2,Hormone Processing
ACTA2,Stromal Cell
ACTB,Cytoskeleton
ADAM28,B cell
AIF1,Macrophage
AIRE,T Cell
AIRE,Thymus
AKT1,Cancer Signalling
ANPEP,Tumor
ANXA1,Receptor Ligand
AREG,Mast Cell
ARG1,Myeloid Derived Suppressor Cell
ARID1A,Tumor
ATM,DNA Damage
BANK1,B Cell
BATF3,T Cell
BCL2,Apoptosis
BRAF,Proto-Oncogene
C1QB,Monocyte
C1QB,Complement
C1QBP,Tumorigenesis
C1QBP,Complement
C1R,Tumor
C1R,Complement
C1S,Tumor
C1S,Complement
CCL11,Cytokines & Growth Factors
CCL11,Chemokine Ligand
CCL11,Cytokine-Cytokine-Receptor Interaction
CCL13,Cytokines & Growth Factors
CCL13,Chemokine Ligand
CCL13,Cytokine-Cytokine-Receptor Interaction
CCL14,Cytokines & Growth Factors
CCL14,Chemokine Ligand
CCL14,Cytokine-Cytokine-Receptor Interaction
CCL15,Cytokines & Growth Factors
CCL15,Chemokine Ligand
CCL15,Cytokine-Cytokine-Receptor Interaction
CCL16,Cytokines & Growth Factors
CCL16,Chemokine Ligand
CCL16,Cytokine-Cytokine-Receptor Interaction
CCL19,Cytokines & Growth Factors
CCL19,Chemokine Ligand
CCL19,Cytokine-Cytokine-Receptor Interaction
CCL2,Cytokines & Growth Factors
CCL2,Chemokine Ligand
CCL2,Cytokine-Cytokine-Receptor Interaction
CCL20,Cytokines & Growth Factors
CCL20,Chemokine Ligand
CCL20,Cytokine-Cytokine-Receptor Interaction
CCL21,Cytokines & Growth Factors
CCL21,Chemokine Ligand
CCL21,Cytokine-Cytokine-Receptor Interaction
CCL26,Cytokines & Growth Factors
CCL26,Chemokine Ligand
CCL26,Cytokine-Cytokine-Receptor Interaction
CCL28,Cytokines & Growth Factors
CCL28,Chemokine Ligand
CCL28,Cytokine-Cytokine-Receptor Interaction
CCL3,T Cell
CCL3,Effector Memory
CCL3,Resident Memory
CCL3,Activated
CCL3,Cytokines & Growth Factors
CCL3,Chemokine Ligand
CCL3,Cytokine-Cytokine-Receptor Interaction
CCL3L1,Cytokines & Growth Factors
CCL3L1,Chemokine Ligand
CCL3L1,Cytokine-Cytokine-Receptor Interaction
CCL4,T Cell
CCL4,Effector Memory
CCL4,Resident Memory
CCL4,Activated
CCL4,Cytokines & Growth Factors
CCL4,Chemokine Ligand
CCL4,Cytokine-Cytokine-Receptor Interaction
CCL5,T Cell
CCL5,Effector Memory
CCL5,Resident Memory
CCL5,Activated
CCL5,Cytokines & Growth Factors
CCL5,Chemokine Ligand
CCL5,Cytokine-Cytokine-Receptor Interaction
CCL7,Cytokines & Growth Factors
CCL7,Chemokine Ligand
