Cluster,N_Cells,cell_type,cell_type_score,cell_type_genes,cell_type_2nd,cell_type_2nd_score,cell_type_2nd_genes,cell_type_3rd,cell_type_3rd_score,cell_type_3rd_genes,cell_state,cell_state_score,cell_state_genes,cell_state_2nd,cell_state_2nd_score,cell_state_2nd_genes,cell_state_3rd,cell_state_3rd_score,cell_state_3rd_genes,gbm_subtype,gbm_subtype_score,gbm_subtype_genes,gbm_subtype_2nd,gbm_subtype_2nd_score,gbm_subtype_2nd_genes,gbm_subtype_3rd,gbm_subtype_3rd_score,gbm_subtype_3rd_genes,immuno_oncology,immuno_oncology_score,immuno_oncology_genes,immuno_oncology_2nd,immuno_oncology_2nd_score,immuno_oncology_2nd_genes,immuno_oncology_3rd,immuno_oncology_3rd_score,immuno_oncology_3rd_genes
0,19687,CD8+ T Cells,0.321,"CD8A, GZMA, CD8B",OPCs,0.277,"PDGFRA, VCAN",Glioblastoma (TME),0.192,"CD2, TRAC, GZMA",Proliferation,0.103,"MKI67, CDK6, CENPF",Hypoxia,0.049,"HIF1A, CXCR4",Angiogenesis,-0.065,"VEGFA, FGF2, CXCL2",OPC,0.272,VCAN,NPC1,0.165,STMN1,NPC2,0.114,"STMN1, TCF4",Survival,0.738,IL7R,Memory,0.738,IL7R,CD8+,0.171,"CD8A, CD3D, GZMA"
1,33985,Vascular Cells,2.115,"FLT1, VWF, RGS5",Exhausted T Cells ,0.221,"ENTPD1, LAG3, PDCD1",CD8+ T Cells,0.179,"PRF1, GZMA, CD8A",Angiogenesis,0.363,"FLT1, CXCL1, CXCL2",Migration,0.258,"ADAMTS1, MMP9, CTSD",Proliferation,-0.061,"KIT, MYC, CDK1",MES1,0.308,"FN1, IGFBP7, A2M",NPC2,-0.067,"TCF4, STMN1",G2/M,-0.149,CENPF,Endothelial Cell,1.699,PLVAP,Pericyte,1.687,"RGS5, NOTCH3",Fibroblast,1.620,"DCN, FN1, LUM"
2,51456,Microglia,0.383,"CX3CR1, TREM2, ITGAX",Glioblastoma (TME),0.311,"GPR34, CD163, CX3CR1",Tumor-Associated Macrophages,0.208,"CD163, CD68, CD14",Unclassified,0.023,,Hypoxia,-0.085,"CXCR4, HIF1A",Angiogenesis,-0.091,"CXCL2, CXCL1, FLT1",Unclassified,-0.025,,G2/M,-0.051,CENPF,NPC2,-0.068,"STMN1, TCF4",Cancer Stemness,0.272,"CX3CR1, CFC1",Granulocyte,0.250,ITGAM,Monocyte,0.243,"CSF1R, FCGR3A, C1QB"
3,22023,Vascular Cells,0.822,"RGS5, FLT1, PDGFRB",CD8+ T Cells,0.057,"PRF1, CD8B, CD8A",Exhausted T Cells ,0.045,"ENTPD1, TIGIT, PDCD1",Angiogenesis,0.145,"FLT1, CXCL1, CXCL2",Migration,0.025,"MMP9, ADAMTS1, MMP12",Proliferation,0.022,"KIT, CDK6, MKI67",Unclassified,0.095,,AC,0.017,"SPARC, SPARCL1, S100B",NPC2,-0.005,"TCF4, STMN1",Pericyte,0.940,"RGS5, NOTCH3",Fibroblast,0.623,"DCN, FN1, LUM",T cell,0.270,PRF1
4,26232,OPCs,0.117,"VCAN, PDGFRA",Glioblastoma (Cancer cells),0.070,"EGFR, ANXA1, CAV1",Inhibitory Neurons,0.019,"SST, PVALB",Proliferation,0.211,"MKI67, CENPF, CDK6",Migration,-0.018,"MMP12, CTSD, MMP9",Hypoxia,-0.081,"CXCR4, HIF1A",NPC1,0.735,STMN1,NPC2,0.645,"STMN1, TCF4",G2/M,0.445,CENPF,Cell Cycle Progression,0.445,CENPF,Cytoskeleton,0.443,"TUBB, ACTB",Neutrophils,0.373,S100A9
5,38446,Glioblastoma (TME),0.150,"AIF1, GPR34, FCGR3A",Microglia,0.125,"TREM2, CX3CR1, CD68",Tumor-Associated Macrophages,0.056,"CD163, CD68, CD14",Proliferation,0.309,"MKI67, CENPF, CDK1",Migration,-0.037,"CTSD, CTSB, CTSS",Hypoxia,-0.060,"HIF1A, CXCR4",G2/M,0.655,CENPF,NPC1,0.528,STMN1,NPC2,0.434,"STMN1, TCF4",Cell Cycle Progression,0.655,CENPF,Neutrophils,0.585,S100A9,Cytoskeleton,0.362,"TUBB, ACTB"
6,54140,Astrocytes,0.282,"S100B, SLC1A3, SOX9",Neural Stem Cells,0.061,"NOTCH1, ID1",Excitatory Neurons,0.037,"PCP4, NELL2",Unclassified,-0.028,,Migration,-0.030,"MMP12, MMP9, CTSS",Proliferation,-0.048,"CDK6, MYC, CENPF",AC,0.255,"S100B, GATM, SLC1A3",MES2,0.050,"GDF15, CDKN1A",MES1,-0.009,"IFITM3, A2M, MGP",Cytokine Signalling,0.262,"SOCS2, SOCS1, SOCS3",Suppression,0.183,IDO1,Th1,0.114,"STAT1, TBX21, NOTCH3"
7,66295,Glioblastoma (Cancer cells),0.141,"CAV1, EGFR, CD44",OPCs,0.135,"VCAN, PDGFRA",Astrocytes,0.120,"SOX9, S100B, SLC1A3",Angiogenesis,0.143,"VEGFA, FGF2, CXCL1",Hypoxia,0.091,"HIF1A, CXCR4",Migration,-0.007,"ADAMTS1, CTSD, CTSB",MES2,0.396,"CDKN1A, GDF15",OPC,0.199,VCAN,AC,0.110,"PMP22, GATM, S100B",Th17,0.259,STAT3,Proto-Oncogene,0.169,"JUN, BRAF, TP53",Th2,0.129,"NOTCH1, NOTCH2"
8,36812,Glioblastoma (Cancer cells),0.130,"CAV1, CD44, ANXA1",Tumor-Associated Macrophages,0.057,"ARG1, CCR2, IL10",Microglia,0.042,"CCL4, CD68, CD86",Unclassified,0.076,,Migration,0.048,"MMP12, MMP9, CTSS",Proliferation,0.032,"KIT, MYC, CDK1",G2/M,0.199,CENPF,MES2,-0.002,"GDF15, CDKN1A",MES1,-0.043,"CD44, CTSB, MGP",Cell Cycle Progression,0.199,CENPF,Neutrophils,0.155,S100A9,Natural Killer T Cell,0.115,CXCL16
9,67174,Glioblastoma (Cancer cells),0.401,"CD44, ANXA1, CAV1",Excitatory Neurons,0.164,"NELL2, PCP4",Neural Stem Cells,0.134,"ID1, NOTCH1",Unclassified,0.088,,Angiogenesis,0.074,"FGF2, VEGFA, CXCL2",Migration,0.011,"CTSD, CTSL, MMP12",MES1,0.500,"C1S, C1R, CD44",AC,0.308,"SPARCL1, EDNRB, PMP22",OPC,0.031,VCAN,Autophagy,0.551,LAMP2,Receptor Ligand,0.478,ANXA1,Complement,0.398,"C1S, C1R, C1QB"
10,38671,Astrocytes,0.194,"S100B, SLC1A3, SOX9",Excitatory Neurons,0.107,"NELL2, PCP4",Neural Stem Cells,0.100,"NOTCH1, ID1",Proliferation,0.512,"MKI67, CDK1, CENPF",Hypoxia,0.029,"HIF1A, CXCR4",Angiogenesis,-0.043,"FGF2, CXCL2, CXCL1",G2/M,0.912,CENPF,NPC1,0.392,STMN1,NPC2,0.155,"STMN1, TCF4",Cell Cycle Progression,0.912,CENPF,Proliferation,0.391,"MKI67, STMN1, IL2",Cell Division,0.221,"ORC6, CENPV, G0S2"
11,37937,Excitatory Neurons,0.135,"NELL2, PCP4",Glioblastoma (Cancer cells),0.111,"CD44, ANXA1, EGFR",Astrocytes,0.054,"SLC1A3, S100B, SOX9",Unclassified,0.027,,Angiogenesis,-0.065,"FGF2, VEGFA, CXCL2",Migration,-0.086,"CTSB, CTSD, CTSL",MES1,0.277,"A2M, C1R, IFITM3",AC,0.233,"PMP22, EDNRB, GATM",MES2,0.105,"CDKN1A, GDF15",Suppression,1.128,IDO1,Monoyte,0.721,CXCL10,Eosinophil,0.721,CXCL10
12,70216,OPCs,0.653,"PDGFRA, VCAN",Astrocytes,0.350,"S100B, SOX9, SLC1A3",Neural Stem Cells,0.179,"NOTCH1, ID1",Unclassified,0.015,,Hypoxia,0.000,"HIF1A, CXCR4",Proliferation,-0.026,"MYC, CDK6, KIT",OPC,0.541,VCAN,NPC2,0.279,"TCF4, STMN1",NPC1,0.226,STMN1,Cell Invasion,0.308,CDKN1C,Tumor Supression,0.250,"FEZ1, FHIT",Stromal Cell,0.246,"PDGFRA, ACTA2, CXCL10"
13,37916,OPCs,0.247,"VCAN, PDGFRA",Astrocytes,0.234,"SOX9, SLC1A3, S100B",Excitatory Neurons,0.199,"NELL2, PCP4",Hypoxia,0.104,"HIF1A, CXCR4",Angiogenesis,0.064,"FGF2, VEGFA, CXCL2",Migration,-0.050,"CTSD, CTSL, MMP12",OPC,0.344,VCAN,AC,0.270,"EDNRB, SPARCL1, GATM",MES1,0.162,"C1R, C1S, APOE",Autophagy,0.318,LAMP2,Receptor Ligand,0.240,ANXA1,Tumor Supression,0.238,"FEZ1, FHIT"
14,46831,OPCs,0.315,"PDGFRA, VCAN",Astrocytes,0.102,"SOX9, S100B, SLC1A3",Excitatory Neurons,0.102,"NELL2, PCP4",Proliferation,0.545,"MKI67, CDK1, CENPF",Hypoxia,0.067,"HIF1A, CXCR4",Angiogenesis,0.006,"VEGFA, FGF2, CXCL2",G2/M,0.811,CENPF,NPC1,0.403,STMN1,NPC2,0.293,"STMN1, TCF4",Cell Cycle Progression,0.811,CENPF,Cell Division,0.409,"ORC6, CENPV, G0S2",Proliferation,0.402,"MKI67, STMN1, IL2"
15,64494,Glioblastoma (Cancer cells),0.395,"CD44, ANXA1, CAV1",Excitatory Neurons,0.239,"NELL2, PCP4",Neural Stem Cells,0.174,"ID1, NOTCH1",Hypoxia,0.112,"HIF1A, CXCR4",Angiogenesis,0.043,"FGF2, CXCL2, VEGFA",Migration,-0.018,"CTSD, CTSL, CTSB",MES1,0.580,"C1S, C1R, CD44",AC,0.212,"SPARCL1, PMP22, EDNRB",OPC,0.065,VCAN,Receptor Ligand,0.760,ANXA1,Autophagy,0.658,LAMP2,Complement,0.502,"C1S, C1R, C1QBP"
