Cluster,N_Cells,cell_type,cell_type_score,cell_type_genes,cell_type_2nd,cell_type_2nd_score,cell_type_2nd_genes,cell_type_3rd,cell_type_3rd_score,cell_type_3rd_genes,cell_state,cell_state_score,cell_state_genes,cell_state_2nd,cell_state_2nd_score,cell_state_2nd_genes,cell_state_3rd,cell_state_3rd_score,cell_state_3rd_genes,cell_pathway,cell_pathway_score,cell_pathway_genes,cell_pathway_2nd,cell_pathway_2nd_score,cell_pathway_2nd_genes,cell_pathway_3rd,cell_pathway_3rd_score,cell_pathway_3rd_genes
0,2320,neuron associated cell (sensu Vertebrata),1.146,"Vcan, Pdgfra, Cspg4",oligodendrocyte precursor cell,1.146,"Vcan, Pdgfra, Cspg4",glioblast,0.331,"Olig1, Ptprz1, Marcks",Migration,0.547,"Mmp2, Cd44",Proliferation,0.283,"Mki67, Top2a, Cdk6",Angiogenesis,-0.011,"Vegfa, Bhlhe40",PDGF,1.440,"Pdgfra, Pdgfrb",MMP,1.159,Mmp2,PSAP,1.086,Gpr37l1
1,2491,cortical interneuron,0.528,"Gad1, Slc32a1, Gad2",sst GABAergic cortical interneuron,0.513,"Gad1, Slc32a1, Gad2",cerebral cortex GABAergic interneuron,0.511,"Gad1, Slc32a1, Gad2",Unclassified,-0.033,,Migration,-0.065,"Cd44, Mmp2",Hypoxia,-0.165,"Kdr, Pecam1",KIT,0.504,Kit,GABA-A,0.416,"Slc32a1, Slc6a11, Slc6a8",OPIOID,0.359,"Pnoc, Oprm1, Oprd1"
2,2606,tissue-resident macrophage,2.373,"Selplg, Cx3cr1, P2ry13",professional antigen presenting cell,2.359,"Selplg, Cx3cr1, P2ry13",phagocyte,2.305,"Cx3cr1, P2ry13, Csf1r",Proliferation,0.278,"Cdk6, Myc, Mki67",Migration,0.057,"Mmp2, Cd44",Hypoxia,0.044,"Pecam1, Kdr",CX3C,3.882,Cx3cr1,CSF,3.780,Csf1r,ApoE,3.618,Trem2
3,697,respiratory basal cell,1.296,F3,tracheal goblet cell,1.296,F3,respiratory goblet cell,1.296,F3,Angiogenesis,0.751,"Vegfa, Bhlhe40",Proliferation,-0.012,"Myc, Mki67, Top2a",Migration,-0.031,"Cd44, Mmp2",PSAP,1.617,Gpr37l1,PMCH,1.408,Mertk,EPGN,0.685,Egfr
4,615,kidney afferent arteriole endothelial cell,1.104,"Pecam1, Epas1, Id1",endothelial cell,1.059,"Flt1, Pltp, Abcb1a",endothelial stalk cell,1.017,"Flt1, Pltp, Abcb1a",Hypoxia,1.548,"Pecam1, Kdr",Proliferation,-0.029,"Cdk6, Top2a, Mki67",Migration,-0.037,"Cd44, Mmp2",ESAM,1.535,Esam,CDH5,1.499,Cdh5,OCLN,1.041,Ocln
5,1278,mural cell,1.702,"Notch3, Kcnj8, Abcc9",pericyte,1.623,"Notch3, Kcnj8, Abcc9",vascular leptomeningeal cell,1.406,"Notch3, Kcnj8, Abcc9",Hypoxia,0.506,"Pecam1, Kdr",Proliferation,0.082,"Cdk6, Mki67, Top2a",Migration,-0.079,"Mmp2, Cd44",PDGF,1.909,"Pdgfrb, Pdgfra",NOTCH,1.717,"Notch3, Notch1, Notch4",ESAM,1.532,Esam
6,1170,oligodendrocyte,0.990,"Mag, Mog, Ugt8a",glial cell,0.550,"Mag, Mog, Ugt8a",macroglial cell,0.521,"Mag, Mog, Ugt8a",Unclassified,-0.037,,Proliferation,-0.049,"Top2a, Mki67, Myc",Angiogenesis,-0.259,"Vegfa, Bhlhe40",MAG,1.834,Mag,VISTA,0.459,Igsf11,GIPR,0.459,Gipr
7,1590,vascular leptomeningeal cell (Mmus),1.560,"Fmod, Ogn, Bmp6",Hofbauer cell,1.528,C2,stromal cell,1.220,"Fmod, Ogn, Col1a2",Migration,0.298,"Mmp2, Cd44",Hypoxia,0.115,"Kdr, Pecam1",Angiogenesis,0.006,"Vegfa, Bhlhe40",LEP,2.272,Lepr,PDGF,1.287,"Pdgfrb, Pdgfra",CDH5,1.126,Cdh5
8,2654,kidney afferent arteriole endothelial cell,1.437,"Pecam1, Epas1, Id1",endothelial cell,1.234,"Pltp, Flt1, Abcb1a",endothelial stalk cell,1.196,"Pltp, Flt1, Abcb1a",Hypoxia,1.790,"Pecam1, Kdr",Proliferation,-0.021,"Top2a, Cdk6, Mki67",Migration,-0.040,"Cd44, Mmp2",CDH5,1.849,Cdh5,ESAM,1.828,Esam,OCLN,1.267,Ocln
9,2677,oligodendrocyte,0.939,"Cnp, Mag, Mog",glial cell,0.579,"Mag, Mog, Ugt8a",macroglial cell,0.546,"Mag, Mog, Ugt8a",Unclassified,0.001,,Proliferation,-0.015,"Top2a, Mki67, Myc",Migration,-0.019,"Mmp2, Cd44",MAG,2.088,Mag,NRG,0.261,"Itgb4, Erbb3, Erbb4",GIPR,0.218,Gipr
10,3262,tracheal goblet cell,1.980,F3,respiratory basal cell,1.980,F3,basal cell of epithelium of trachea,1.980,F3,Angiogenesis,0.973,"Vegfa, Bhlhe40",Migration,0.056,"Cd44, Mmp2",Proliferation,-0.013,"Myc, Top2a, Mki67",PSAP,1.969,Gpr37l1,PMCH,1.553,Mertk,EPGN,1.173,Egfr
11,4012,glutamatergic neuron,0.643,"Slc17a7, Vxn, Snap25",L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,0.616,"Slc17a7, Snap25, Syn1",pyramidal neuron,0.606,"Slc17a7, Vxn, Dkk3",Unclassified,-0.013,,Angiogenesis,-0.037,"Bhlhe40, Vegfa",Migration,-0.042,"Cd44, Mmp2",CCK,0.667,Cckbr,SLITRK,0.315,"Slitrk1, Slitrk3",SOMATOSTATIN,0.279,"Sstr4, Sstr3, Sstr2"
12,278,oligodendrocyte,1.103,"Mog, Mag, Ugt8a",glial cell,0.937,"Mog, Mag, Ugt8a",neuron associated cell,0.900,"Mog, Mag, Ugt8a",Angiogenesis,0.311,"Vegfa, Bhlhe40",Migration,0.034,"Cd44, Mmp2",Proliferation,0.033,"Top2a, Mki67, Myc",MAG,2.040,Mag,PSAP,1.169,Gpr37l1,VISTA,0.955,Igsf11
